!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
Accountant,Effectief Geven,https://www.effectiefgeven.be/vacatures/boekhoudkundige,Remote.Belgium,2024-09-06,1/1/2050,5. Building effective altruism,"- As an accountant, you help to ensure that the organization's administration is maintained. 
- Provide advice on questions regarding legislation and accounting.
- Help with booking bank statements.
- Monitor changes in legislation and help to implement any necessary adjustments.
- Draw up the annual accounts.",Undergraduate degree or less,Junior (1-4 years experience),Finance,Volunteering,Unpaid,https://www.effectiefgeven.be/,https://www.effectiefgeven.be/vacatures,https://80000hours.org/wp-content/uploads/2024/08/effectief_geven_logo.jpeg,
Copywriter,Effectief Geven,https://www.effectiefgeven.be/vacatures/copywriter,Remote.Belgium,2025-03-05,1/1/2050,5. Building effective altruism,"- In this role, the primary task is to manage the informative content on the website and social media, contributing to the goal of informing the public.
- Write engaging and informative articles, blog posts, and social media updates, and potentially contribute to the newsletter.
- Create and source visual content like images, infographics, and videos to integrate into articles.
- Develop and manage the content calendar and plan publications.
- Collaborate with the team to develop and refine a communication strategy.
- Requires fluency in Dutch.",Undergraduate degree or less,Junior (1-4 years experience),Other,Part-time,Not Found,https://www.effectiefgeven.be/,https://www.effectiefgeven.be/vacatures,https://80000hours.org/wp-content/uploads/2024/08/effectief_geven_logo.jpeg,
Social Media Manager,Effectief Geven,https://www.effectiefgeven.be/vacatures/social-media-manager,Ghent.Belgium,2026-02-23,1/1/2050,5. Building effective altruism,"* In this role, you'll manage social media to amplify the organisation's mission to target audiences through strategic positioning and content.
* Develop and execute a clear content strategy across LinkedIn, Instagram and other relevant social channels.
* Create compelling posts that translate complex impact insights into accessible formats and visuals.
* Plan and coordinate campaigns around press moments, events and reports.
* Analyse performance data and engage with the community to optimise reach and impact.",Undergraduate degree or less,Entry-level,Outreach,Part-time,Not Found,https://www.effectiefgeven.be/,https://www.effectiefgeven.be/vacatures,https://80000hours.org/wp-content/uploads/2024/08/effectief_geven_logo.jpeg,
Head of Community,Effective Altruism DC,https://docs.google.com/document/d/1SmRwx9H1pBgS4Tr2Rjb88NdSit14wQSFS9QEbrqFlGc/edit?tab=t.0,"""Washington, DC metro area.USA""",2026-03-11,1/1/2050,5. Building effective altruism,"* In this role, you'll build EA DC's community, owning programming, events, and infrastructure that help 1,500+ members work on global challenges.
* Conduct 1-on-1 calls and career advising with community members, welcoming new people and providing tailored guidance.
* Plan and run events including cause-area meetups, workshops, happy hours, and occasional retreats.
* Keep the Airtable CRM, website, and community resources current and accurate.
* Manage social media across Facebook, LinkedIn, and Slack.",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Outreach",Full-time,"$81,000 - $92,000",https://effectivealtruismdc.org/,,https://80000hours.org/wp-content/uploads/2024/04/ea_dc_logo.png,
Lead Organiser,Effective Altruism San Francisco,https://forum.effectivealtruism.org/posts/mQoq3RXtwhgNwLBGN/ea-san-francisco-needs-a-new-lead-organizer,San Francisco Bay Area.USA,2026-01-13,1/1/2050,5. Building effective altruism,"* In this role, you'll lead the EA San Francisco community, organizing events and maintaining group activities.
* Organize regular events ranging from casual lunches to speaker talks and topic-based workshops.
* Connect community members with relevant opportunities to amplify their impact on pressing global problems.
* Engage with AI lab employees and startup communities to promote EA principles and collaboration.
* Coordinate communication through various channels to build and maintain community engagement.",Undergraduate degree or less,Entry-level,"Operations, Outreach",Volunteering,Unpaid,https://effectivealtruismsf.org/index.html,,https://80000hours.org/wp-content/uploads/2023/03/EA-logo.png,
Student Research Assistant,Forecasting Research Institute,https://forecastingresearch.org/careers/student-research-assistant,Remote.Global,2025-04-24,1/1/2050,,"* In this role, you'll support a research team with forecasting and cause prioritization projects as a part-time student research assistant.
* Conduct literature reviews and distill complex topics into forecastable questions.
* Perform research and analysis to design forecasting tournaments and experiments.
* Support the running of forecasting tournaments and collect, organize, and analyze resulting data.
* Work remotely for approximately 10 hours per week while pursuing your undergraduate or master's degree.",Undergraduate degree or less,Entry-level,Research,Part-time,$20 per hour,https://forecastingresearch.org/,https://forecastingresearch.org/participate,https://80000hours.org/wp-content/uploads/2022/12/Icon.png,
Research Assistant,Forecasting Research Institute,https://forecastingresearch.org/careers/research-assistant,Remote.Global,2026-05-06,1/1/2050,4. Macrostrategy,"* In this part-time role, you'll support project leads in forecasting research by conducting literature reviews, designing experiments, and analysing data.
* Distil complex topics into clear, forecastable questions for research tournaments.
* Respond to forecasters' questions and manage clarification requests during ongoing tournaments.
* Assist in designing and conducting experiments, then analyse the resulting data and forecasts.
* Collect historical data and help organise forecasting tournaments to support research projects.",Undergraduate degree or less,Entry-level,Research,Part-time,Starting: $25 per hour,https://forecastingresearch.org/,https://forecastingresearch.org/participate,https://80000hours.org/wp-content/uploads/2022/12/Icon.png,
Content Editor,Forecasting Research Institute,https://forecastingresearch.org/careers/content-editor,Remote.Global,2026-05-06,1/1/2050,4. Macrostrategy,"* In this part-time role, you'll create forecasting content by writing questions and summaries based on expert interviews.
* Write detailed, resolvable forecasting questions from expert suggestions about future events.
* Produce summaries of forecasting rationales and policy research findings.
* Conduct expert interviews to gather insights on events impacting future probabilities.
* Respond to forecasters' questions and provide clarifications on forecasting content.",Undergraduate degree or less,Entry-level,Other,Part-time,$23 per hour,https://forecastingresearch.org/,https://forecastingresearch.org/participate,https://80000hours.org/wp-content/uploads/2022/12/Icon.png,
"Intern, Asia-Pacific Office",Future of Privacy Forum,https://fpf.org/asia-pacific-office-internship-fpf-apac/,Singapore.Singapore,2025-09-22,1/1/2050,6. Career development: Policy & government,"* In this two-month hybrid internship, you'll support FPF's Asia-Pacific office with research and analysis at the intersection of data protection, emerging technology, and industry practices.
* Conduct legal, technical, and policy research on topics like AI governance, cross-border data transfers, and privacy technologies.
* Engage with policymakers and partners on regional data protection developments.
* Contribute to thought leadership initiatives that advance principled data practices in support of emerging technologies.",Undergraduate degree or less,Entry-level,"Research, Policy",Internship,"$1,000 SGD per month",https://fpf.org/,https://fpf.org/about/career-opportunities/,https://80000hours.org/wp-content/uploads/2023/10/future_of_privacy_forum_logo.jpeg,
"Intern, US Policy (Summer 2026)",Future of Privacy Forum,https://fpf.org/us-policy-internships/,"""Washington, DC metro area.USA""",2025-11-11,1/1/2050,6. Career development: Policy & government,"* In this role, you'll support FPF's US Policy team by researching privacy issues at the intersection of technology and commercial practices.
* Research the impact of new technologies in areas like AI, biometrics, and connected vehicles.
* Engage with policymakers and companies on privacy and data protection issues.
* Contribute to legal, technical, and policy projects and thought leadership.
* Support specific initiatives while working in a hybrid or fully remote environment.",Undergraduate degree or less,Entry-level,"Research, Policy",Internship,$20 per hour,https://fpf.org/,https://fpf.org/about/career-opportunities/,https://80000hours.org/wp-content/uploads/2023/10/future_of_privacy_forum_logo.jpeg,
Doctoral Fellows,Geneva Centre for Security Policy,https://www.gcsp.ch/doctoral-fellows,Geneva.Switzerland,2024-09-12,1/1/2050,6. Career development: Policy & government,"- As a Doctoral Fellow, you will be able to take part in a 6-month residency at the GCSP.
- Contribute to GCSP’s research activities.
- Share your research at seminars.
- Build strong relations with scholars and practitioners.
- Have access to GCSP experts, staff and course participants, and professional development opportunities.",Master's degree,Entry-level,Policy,Fellowship,Not Found,https://www.gcsp.ch/,https://www.gcsp.ch/gfi#fellowships,https://80000hours.org/wp-content/uploads/2021/07/Geneva-Centre-for-Security-Policy.png,
"Fellowship, Young Leaders in Foreign and Security Policy",Geneva Centre for Security Policy,https://www.gcsp.ch/young-leaders-foreign-and-security-policy,Geneva.Switzerland,2024-09-12,1/1/2050,6. Career development: Policy & government,"- As a Young Leader, you will be able to take part in a 3-month residency at the GCSP.
- Gain practical experience by taking on different projects for the GCSP.
- Build strong relations with a wide range of professionals.
- Have access to GCSP experts, staff, and course participants.
- Explore diverse opportunities in the heart of international Geneva, host to 43 international organisations, more than 380 NGOs, and 257 diplomatic missions, representations, and delegations.",Master's degree,Junior (1-4 years experience),Policy,Fellowship,Not Found,https://www.gcsp.ch/,https://www.gcsp.ch/gfi#fellowships,https://80000hours.org/wp-content/uploads/2021/07/Geneva-Centre-for-Security-Policy.png,
Research Intern,Gensyn,https://job-boards.eu.greenhouse.io/gensyn/jobs/4579609101,Remote.Global,2025-08-22,1/1/2050,D. Career development: Technical,"* In this role, you'll contribute to cutting-edge research in scalable, distributed machine learning systems alongside experienced researchers.
* Design and prototype novel neural network architectures for decentralized compute environments.
* Contribute to original research focusing on modular architectures, verifiability, continual learning, and scale.
* Collaborate on joint publications targeting top-tier AI venues such as NeurIPS, ICML, and ICLR.
* Communicate research findings effectively through written papers and verbal presentations.",Master's degree,Entry-level,"Research, Software engineering",Internship,Not Found,https://www.gensyn.ai/,https://www.gensyn.ai/careers,https://80000hours.org/wp-content/uploads/2025/08/gensyn_logo.jpg,
"Forward Deployed Research Scientist, Biology",Goodfire,https://job-boards.greenhouse.io/goodfire/jobs/4924131008,San Francisco Bay Area.USA,2025-09-23,1/1/2050,D. Career development: Technical,"* In this role, you'll lead scientific research with partners to interpret advanced biological foundation models and develop new techniques for understanding them.
* Work directly with customers to conduct original research in interpretability and computational biology.
* Prototype techniques to visualize and manipulate internal model structures.
* Collaborate with engineering to turn research into production-ready tools.
* Drive partnership success by working closely with customers and helping define research direction.",Doctoral degree,Junior (1-4 years experience),Research,Full-time,"$220,000 - $315,000",https://goodfire.ai,https://job-boards.greenhouse.io/goodfire,https://80000hours.org/wp-content/uploads/2024/08/goodfire_logo.jpeg,
Computational Biologist,Gordian Biotechnology,https://ats.rippling.com/gordian-biotechnology/jobs/e41b3008-73fb-41b6-b22d-bf94e927128d,San Francisco Bay Area.USA,2026-01-20,1/1/2050,A. Global health & development,"* In this role, you'll analyze single-cell transcriptomic screens to drive therapeutic decisions in cardio-renal-metabolic disease.
* Guide key analytical decisions for screen design, quality control, interpretation, and hit selection.
* Integrate internal data with genomics resources to connect molecular changes to physiological outcomes.
* Develop robust approaches for handling heterogeneous contexts, confounders, and controls in datasets.
* Partner with disease experts to translate results into testable biological hypotheses.",Doctoral degree,Junior (1-4 years experience),Research,Full-time,Not Found,https://www.gordian.bio/,https://www.gordian.bio/careers/,https://80000hours.org/wp-content/uploads/2024/03/gordian_biotechnology_logo.png,
Luce Scholars Program,Henry Luce Foundation,https://www.hluce.org/programs/luce-scholars/,.USA,2026-05-08,7/9/2026,6. Career development: Policy & government,"* In this program, you'll gain yearlong immersive professional experience across Asia with language training and cultural engagement.
* Work with mentors in diverse fields such as public health, arts, economic development, and environmental science.
* Contribute your talents to NGOs, government agencies, companies, universities, think tanks, and museums.
* Deepen understanding of Asia's countries, cultures, and people through engagement with local communities.
* Build connections with fellow Scholars, alumni networks, and people in your host country.",Undergraduate degree or less,Entry-level,Policy,Fellowship,Not Found,https://www.hluce.org/,https://www.hluce.org/about/job-opportunities/,https://80000hours.org/wp-content/uploads/2023/09/luce_logo.jpeg,
Technical Support Engineer,HiddenLayer,https://job-boards.greenhouse.io/hiddenlayer/jobs/4915355007,HI.USA,2025-09-23,1/1/2050,D. Career development: Technical,"* In this role, you'll provide responsive, high-quality technical support to customers using the HiddenLayer AISec Platform.
* Troubleshoot, investigate, and resolve product issues, escalating with clear context when needed.
* Collaborate with Engineering, Product, and Research teams to improve the platform and customer experience.
* Contribute to knowledge bases and documentation to enhance support scalability.
* Support customer onboarding processes and continuously improve support workflows and tools.",Undergraduate degree or less,Junior (1-4 years experience),"Software engineering, Operations",Full-time,Not Found,https://hiddenlayer.com/,https://hiddenlayer.com/careers/,https://80000hours.org/wp-content/uploads/2023/12/HiddenLayer.jpeg,
Volunteer Opportunities,High Impact Medicine,https://docs.google.com/document/d/1Nqz1vAJQzr4XOpB-mHg2YGzkIItX-RMj2b88pLROnjA/edit?tab=t.0#heading=h.6jynaot9cbnq,Remote.Global,2024-10-28,1/1/2050,5. Building effective altruism,"- These are opportunities to grow skills and develop experience within a global non-profit organisation. 
- All roles include continued mentoring.",Undergraduate degree or less,Entry-level,"Operations, Outreach",Volunteering,Not Found,https://www.highimpactmedicine.org/,https://docs.google.com/document/d/1Nqz1vAJQzr4XOpB-mHg2YGzkIItX-RMj2b88pLROnjA/edit?tab=t.0#heading=h.6jynaot9cbnq,https://80000hours.org/wp-content/uploads/2022/08/High-impact-medicine.png,
"Opportunities, Asia",Innovations for Poverty Action,"https://poverty-action.org/current-opportunities#:~:text=of%20Data%20Science-,Asia%20and%20Oceania,-Philippines",.Philippines,2025-01-13,1/1/2050,A. Global health & development,"""J-PAL are hiring for additional roles in Country Offices in Asia. Click ""View Job Details"" to see current vacancies.""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations, Research",Full-time,Not Found,https://www.poverty-action.org,http://www.poverty-action.org/work-with-ipa/current-opportunities,https://80000hours.org/wp-content/uploads/2024/01/innovations_for_poverty_action_logo.jpeg,
"Opportunities, East Africa",Innovations for Poverty Action,"https://poverty-action.org/current-opportunities#:~:text=Senior%20Program%20Associate-,East%20Africa,-Kenya",".Rwanda,.Tanzania,.Zambia,.Malawi,.Kenya",2025-01-16,1/1/2050,A. Global health & development,"""J-PAL are hiring for additional roles in Country Offices in East Africa. Click ""View Job Details"" to see current vacancies.""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations, Research",Full-time,Not Found,https://www.poverty-action.org,http://www.poverty-action.org/work-with-ipa/current-opportunities,https://80000hours.org/wp-content/uploads/2024/01/innovations_for_poverty_action_logo.jpeg,
"Opportunities, West Africa",Innovations for Poverty Action,"https://poverty-action.org/current-opportunities#:~:text=Associate%20Research%20Manager-,West%20Africa,-Ghana",".Nigeria,.Ghana,.Sierra Leone,.Côte d'Ivoire,.Burkina Faso",2025-01-16,1/1/2050,A. Global health & development,"""J-PAL are hiring for additional roles in Country Offices in West Africa. Click ""View Job Details"" to see current vacancies.""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations, Research",Full-time,Not Found,https://www.poverty-action.org,http://www.poverty-action.org/work-with-ipa/current-opportunities,https://80000hours.org/wp-content/uploads/2024/01/innovations_for_poverty_action_logo.jpeg,
"Opportunities, Latin America",Innovations for Poverty Action,"https://poverty-action.org/current-opportunities#:~:text=Latin%20America,-and%20North%20America",.Colombia,2025-01-13,1/1/2050,A. Global health & development,"""J-PAL are hiring for additional roles in Country Offices in Latin America. Click ""View Job Details"" to see current vacancies.""",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Operations, Research",Full-time,Not Found,https://www.poverty-action.org,http://www.poverty-action.org/work-with-ipa/current-opportunities,https://80000hours.org/wp-content/uploads/2024/01/innovations_for_poverty_action_logo.jpeg,
Internships,Institute of Peace and Conflict Studies,https://www.ipcs.org/work_with_us.php,New Delhi.India,2024-10-31,1/1/2050,6. Career development: Policy & government,"- IPCS welcomes applications from outstanding undergraduates, postgraduate students, recent graduates, and MPhil or PhD scholars pursuing studies in Politics, History, International Relations, or related fields. 
- Assist IPCS faculty in their research and programmatic work. 
- Contribute original writing on contemporary geopolitical issues to be published by IPCS. 
- Gain exposure through IPCS events and outreach activities. 
- Be assigned to one of the four programmes based on research areas: CRP, IReS, NSP, and SEARP. ",Undergraduate degree or less,Entry-level,"Policy, Research",Internship,Not Found,https://www.ipcs.org/,https://www.ipcs.org/work_with_us.php,https://80000hours.org/wp-content/uploads/2024/10/institute_of_peace_and_conflict_studies_logo.jpeg,
"AI Red Teamer, Frontier AI Safety",July AI,https://www.notion.so/Use-Your-Creativity-to-Make-a-Frontier-AI-Model-Safer-AI-Red-Teaming-298c6fc4dec280ee956dcb78897f323b,"San Francisco Bay Area.USA,Remote.USA",2026-01-27,1/1/2050,D. Career development: Technical,"* In this role, you'll create adversarial prompts to test and improve the safety of frontier AI models.
* Write creative scenarios designed to challenge AI systems' boundaries and safety measures.
* Develop conversation flows that attempt to elicit unsafe or unintended AI responses.
* Contribute to AI safety infrastructure by identifying potential vulnerabilities in AI models.
* Apply your storytelling and language skills to help tackle critical AI safety challenges.",Undergraduate degree or less,Entry-level,"Information security, Other",Part-time,$30 - $50 per hour,https://www.gojuly.ai/,,https://80000hours.org/wp-content/uploads/2026/01/july_ai_logo.jpeg,
Growth Marketing Specialist,Marketing Growth Lab,https://docs.google.com/document/d/14En9ZhajBHIaM_iwn0m9vbTRIn0-Az-QrnOpjiRM7fc/edit?tab=t.0#heading=h.vzc1qkrp058y,Remote.Global,2026-03-26,1/1/2050,5. Building effective altruism,"* In this role, you'll drive conversion growth by auditing funnels, identifying opportunities, and implementing data-driven marketing strategies.
* Audit and optimize Google Analytics (GA4) setups, diagnose tracking gaps, and translate performance data into recommendations.
* Manage and optimize Google Ads campaigns to improve ROAS, CPA, and conversion rates.
* Conduct keyword research and on-page optimization to increase organic traffic and conversions.
* Design landing pages and conversion-focused visuals in Canva while collaborating on strategy.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Part-time,$40 - $50 CAD per hour,https://marketinggrowthlab.com/,,https://80000hours.org/wp-content/uploads/2026/03/marketing_growth_lab_logo.jpeg,
"Research Scientist, System Security Researcher","Massachusetts Institute of Technology, Lincoln Laboratory",https://careers.ll.mit.edu/job/Lexington-Research-Scientist-System-Security-Researcher-MA-02420/1328089000/,Boston metro area.USA,2025-09-23,1/1/2050,D. Career development: Technical,"* In this role, you'll advance secure communications, computing, and storage technologies for national security systems.
* Develop and prototype innovative security solutions for mission-critical systems.
* Participate in research activities from concept development to technology transfer.
* Collaborate across disciplines to create solutions that address real-world security challenges.
* Lead technical initiatives that shape research directions and drive strategic program development.",Doctoral degree,Entry-level,"Research, Information security",Full-time,Not Found,https://www.ll.mit.edu/,https://www.ll.mit.edu/careers,https://80000hours.org/wp-content/uploads/2023/12/MIT-Lincoln-Laboratory.jpeg,
Applied AI / ML Researcher,"Massachusetts Institute of Technology, Lincoln Laboratory",https://careers.ll.mit.edu/job/Lexington-Applied-AIML-Researcher-MA-02420/1288187600/,"""Washington, DC metro area.USA""",2025-10-21,1/1/2050,E. Career development,"* In this role, you'll apply AI/ML expertise to develop innovative cyber security solutions that enhance national defense capabilities.
* Architect and develop cutting-edge data analysis and software solutions for novel applications of AI/ML.
* Collaborate with interdisciplinary teams to rapidly acquire new skills and expand your technical capabilities.
* Contribute to project leadership and knowledge sharing through publications and presentations.
* Dive deep with real data and systems to solve complex, open-ended problems in cyber security operations.",Doctoral degree,Entry-level,"Research, Software engineering, Information security",Full-time,Not Found,https://www.ll.mit.edu/,https://www.ll.mit.edu/careers,https://80000hours.org/wp-content/uploads/2023/12/MIT-Lincoln-Laboratory.jpeg,
Volunteer,Mercy for Animals,https://mercyforanimals.lat/empleos/,.Global,2024-08-27,1/1/2050,B. Animal welfare,- Contribute to Mercy for Animals's work in your spare time.,Undergraduate degree or less,Entry-level,"Operations, Outreach",Volunteering,Not Found,https://www.mercyforanimals.org,http://www.mercyforanimals.org/jobs,https://80000hours.org/wp-content/uploads/2019/03/Mercy-For-Anmials.png,
AI Security Engineer,MITRE,https://careers.mitre.org/us/en/job/R116626/AI-Security-Engineer,"""Washington, DC metro area.USA""",2026-05-14,1/1/2050,D. Career development: Technical,"* In this role, you'll assess threats to AI systems and develop defences against adversarial AI tactics affecting national security.
* Perform adversarial threat analysis to identify and characterise vulnerabilities in real-world AI-enabled systems.
* Utilise and enhance the MITRE ATLAS framework to assess threats and risks to AI systems.
* Collaborate with military and intelligence community sponsors to understand shared needs and technology requirements.
* Communicate complex technical concepts to non-technical audiences through briefings and white papers.",Undergraduate degree or less,Junior (1-4 years experience),"Research, Software engineering, Information security",Full-time,"$121,600 - $182,400",https://www.mitre.org/,https://careers.mitre.org/us/en/search-results,https://80000hours.org/wp-content/uploads/2020/08/MITRE-corporation.jpeg,
List of Research Assistant Positions,National Bureau of Economic Research,https://www.nber.org/career-resources/research-assistant-positions-not-nber,Various.USA,2026-05-26,1/1/2050,6. Career development: Policy & government,"""Click ""View Full List"" to find a collection of Research Assistant or Post-Doctoral Researcher positions at the National Bureau of Economic Research (NBER) or with NBER-affiliated researchers.""",Undergraduate degree or less,Entry-level,"Research, Policy",Full-time,Not Found,https://www.nber.org/,https://www.nber.org/jobs/employment_opp.html,https://80000hours.org/wp-content/uploads/2019/09/national-bureau-of-economic-research.jpeg,
Research Associate / Research Fellow,"National University of Singapore, Saw Swee Hock School of Public Health",https://careers.nus.edu.sg/job/Research-AssociateResearch-Fellow-%28part-time%29/30129-en_GB/,Singapore.Singapore,2025-09-11,1/1/2050,A. Global health & development,"* In this role, you'll support a multi-country research initiative focused on water and sanitation interventions in Southeast Asia.
* Oversee baseline community assessment and evaluation of interventions with local research teams.
* Manage field-based data collection including surveys, interviews, and focus groups.
* Conduct quantitative data analysis of longitudinal survey and monitoring data.
* Create data visualizations and draft evaluation reports, policy briefs, and technical documentation.",Master's degree,Junior (1-4 years experience),Research,"Fellowship,Part-time",Not Found,https://nus.edu.sg/,https://careers.nus.edu.sg/NUS/go/Academic-and-Research-Positions/545744/,https://80000hours.org/wp-content/uploads/2023/05/National-University-of-Singapore.jpeg,
Chapter Leader,One for the World,https://1fortheworld.org/volunteer-with-us,".USA,.Canada",2025-07-30,1/1/2050,5. Building effective altruism,"* In this role, you'll lead a One for the World chapter at your MBA program to fight extreme poverty through effective giving.
* Build and lead a student volunteer team organizing events and outreach to promote The 1% Pledge.
* Dedicate 2-3 hours weekly to chapter activities, including regular calls with staff and semi-annual conferences.
* Educate peers about effective giving principles and GiveWell charities' impact.
* Raise funds for cost-effective charities by motivating fellow students to pledge 1% of their income.",Undergraduate degree or less,Entry-level,"Outreach, Operations",Volunteering,Not Found,https://www.1fortheworld.org/,https://www.1fortheworld.org/jobs-at-oftw,https://80000hours.org/wp-content/uploads/2023/03/One-for-the-World.jpeg,
Junior Security Software Engineer,Openchip,https://openchip.factorialhr.com/job_posting/junior-security-software-engineer-243261,Barcelona.Spain,2025-05-20,1/1/2050,D. Career development: Technical,"* In this role, you'll design and implement security features across Openchip's software stack for RISC-V chips with security at heart.
* Develop secure boot, confidential computing, cryptography, and platform security features.
* Define and modify interfaces to expose security features to user applications.
* Collaborate with firmware, operating systems, and middleware teams to integrate security features.
* Contribute to shared team responsibilities including code reviews, bug triaging, and documentation.",Undergraduate degree or less,Junior (1-4 years experience),"Software engineering, Information security",Full-time,Not Found,https://openchip.com/,https://openchip.factorialhr.com/#jobs,https://80000hours.org/wp-content/uploads/2025/05/openchip_logo.jpg,
Program Associate,Outrider Foundation,https://outrider.org/outrider-foundation-seeks-program-associate,"""Madison, WI.USA""",2026-05-25,1/1/2050,"3. Nuclear security,Z. Climate change","* In this role, you'll coordinate events and build fundraising infrastructure to support journalism and storytelling about nuclear threats and climate change.
* Plan and execute conferences, training sessions, and events including speaker coordination and logistics management.
* Research and identify prospective donors and foundations to fund journalism projects and fellowships.
* Engage new and existing funders and work with leadership to secure partnerships and co-funding.
* Maintain donor databases and coordinate advancement meetings and stewardship activities.",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Outreach",Full-time,"$65,000 - $75,000",https://outrider.org/,,https://80000hours.org/wp-content/uploads/2026/05/outrider_foundation_logo.jpeg,
Federal Internship Finder,Partnership for Public Service,https://gogovernment.org/federal-internship-finder/,"""Washington, DC metro area.USA""",2024-01-08,1/1/2050,6. Career development: Policy & government,"""The federal government offers many job opportunities, but they can be difficult to find, track and navigate, complicated by short application windows and information scattered across hundreds of different webpages. The GoGovernment Federal Internship Finder, created by the Partnership for Public Service, will simplify your search for federal opportunities. The tool compiles publicly accessible information about professional and academic opportunities in government for students and recent graduates into one centralized place.""",Undergraduate degree or less,Entry-level,"Policy, Research, Operations",Internship,Not Found,https://ourpublicservice.org/,https://ourpublicservice.org/careers/#openings,https://80000hours.org/wp-content/uploads/2021/03/partnership-for-public-service.jpeg,
"Executive and Operations Assistant, CEO Office",Rethink Wellbeing,https://forms.gle/3sxtZiSLU4gQZryR7,"Remote.India,Remote.Philippines",2026-02-18,1/1/2050,A. Global health & development,"* In this role, you'll serve as a force multiplier for the CEO and leadership team, ensuring smooth operations across multiple domains at a global mental health nonprofit.
* Act as the first point of contact for all stakeholders, handling communications and coordinating meetings.
* Coordinate cross-functional projects, ensuring deadlines are met while drafting documents on behalf of the CEO.
* Handle sensitive administrative tasks including invoices, contracts, legal documents, payments, and refunds.
* Utilize automation and AI tools to streamline processes while maintaining confidentiality.",Undergraduate degree or less,Junior (1-4 years experience),Operations,"Part-time,Full-time","$425 - $1,100 per month",https://www.rethinkwellbeing.org/,,https://80000hours.org/wp-content/uploads/2023/02/Rethink-Wellbeing.png,
Junior Program Manager,Rethink Wellbeing,https://docs.google.com/forms/d/e/1FAIpQLSeJmBjaIbBDT2AaFpTYSfCoDNlafY2BgQpKubqLgfMyeOPG1A/viewform,Remote.Global,2026-03-11,1/1/2050,A. Global health & development,"* In this role, you'll deliver and improve the CBT Lab, a digital mental health program, while managing and training facilitators.
* Recruit, train, and supervise volunteer facilitators delivering evidence-based CBT group sessions.
* Manage program coordination from enrollment through graduation, including support for complex cases.
* Oversee AI-enhanced therapeutic support tools in collaboration with clinical staff.
* Monitor program metrics and participant feedback to identify improvements and maintain clinical integrity.",Master's degree,Junior (1-4 years experience),"Operations, Management",Full-time,"$15,000 - $20,000",https://www.rethinkwellbeing.org/,,https://80000hours.org/wp-content/uploads/2023/02/Rethink-Wellbeing.png,
Group Facilitator,Rethink Wellbeing,https://docs.google.com/forms/d/e/1FAIpQLSfzq7OD7T072MUREYs__tAs2L_uCUZnJz0JcuUw-TEoYKqCOg/viewform,Remote.Global,2026-05-29,1/1/2050,A. Global health & development,"* In this role, you'll facilitate weekly peer support groups to help effective altruism community members improve mental resilience and productivity.
* Complete the facilitator training program and study your group's learning materials before sessions begin.
* Facilitate online group sessions weekly for 4-6 participants, supporting evidence-based discussions and peer learning.
* Prepare for each session by reviewing materials, practicing exercises, and submitting feedback.
* Support your peer group between sessions via the online community by sharing learnings and reflections.",Undergraduate degree or less,Junior (1-4 years experience),Other,Volunteering,Not Found,https://www.rethinkwellbeing.org/,,https://80000hours.org/wp-content/uploads/2023/02/Rethink-Wellbeing.png,
Residency Program,SandboxAQ,https://www.sandboxaq.com/company/residencies,"Remote.USA,Remote.Canada,Remote.UK,Remote.Europe",2024-06-27,1/1/2050,D. Career development: Technical,"- In this residency, you can build technical skills for career capital.
- Improve the security of global data infrastructure against Store Now Decrypt Later attacks and migrate from RSA and ECC to quantum-resistant cryptosystems.
- Build and scale the next generation of quantum sensors using AI tools to impact sectors such as life sciences, navigation, and geophysics.
- Combine physics-based and AI algorithms with accelerated hardware to develop hybrid quantum/classical applications for drug discovery and materials science.",Master's degree,Entry-level,"Software engineering, Research",Full-time,Not Found,https://www.sandboxaq.com/,https://www.sandboxaq.com/careers,https://80000hours.org/wp-content/uploads/2023/06/SandboxAQ.jpeg,
"Volunteer, General Application ",Shrimp Welfare Project,https://docs.google.com/forms/d/e/1FAIpQLSf1fzJ-a8vsyZcQI46OCTH1l0eMYjM-k2fBndWaySrDq9Defg/viewform,Remote.Global,2022-07-21,1/1/2050,B. Animal welfare,"""If you think you'd be a good fit for Shrimp Welfare Project, but we don't have a specific role advertised at the moment, please feel free to fill out this form, letting us know more about yourself and how you think you can help us help shrimps! 
We're primarily looking for volunteer applicants, though this may evolve into a more permanent paid role in the future. [...]""",Undergraduate degree or less,Entry-level,"Research, Outreach, Policy",Volunteering,Unpaid,https://www.shrimpwelfareproject.org/,https://www.shrimpwelfareproject.org/work-with-us,https://80000hours.org/wp-content/uploads/2023/01/Shrimp-Welfare-Project.png,
